BASE,Authors,Title,Year,DOI,Link
SCOPUS,Raposo V.L.,Ex machina: preliminary critical assessment of the European Draft Act on artificial intelligence,2022,10.1093/ijlit/eaac007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130060665&doi=10.1093%2fijlit%2feaac007&partnerID=40&md5=7d15fc7a123d4dff023b271c175379e4
ACADEMIC,Donnelly DL,First Do No Harm: Legal Principles Regulating the Future of Artificial Intelligence in Health Care in South Africa.,2022 jan. 11,10.17159/1727-3781/2022/v25ia11118,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=mdc&AN=35634136&lang=pt-br&site=ehost-live"
SCOPUS,"Harutyunyan D., Yeremyan L.",Freedom of thought: Legal protection from manipulation,2020,10.24234/WISDOM.V14I1.310,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090462891&doi=10.24234%2fWISDOM.V14I1.310&partnerID=40&md5=12fcc0a69a932b35500a436aa0a6e565
ACADEMIC,"Liu, Hin-Yan; Zawieska, Karolina",From responsible robotics towards a human rights regime oriented to the challenges of robotics and artificial intelligence.,Dec2020,10.1007/s10676-017-9443-3,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=iih&AN=146605409&lang=pt-br&site=ehost-live"
ACADEMIC,"Cath, Corinne","Governing artificial intelligence: ethical, legal and technical opportunities and challenges.",11/28/2018,10.1098/rsta.2018.0080,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=133538854&lang=pt-br&site=ehost-live"
SCOPUS,"Chenou J.-M., Valenzuela L.E.R.","Habeas data, habemus algorithms: Algorithmic intervention in public interest decision-making in colombia",2021,10.26512/lstr.v13i2.34113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115769070&doi=10.26512%2flstr.v13i2.34113&partnerID=40&md5=67f14f3741b99f383382f47b39018ef0
ACADEMIC,"Li, Qing; Du, YaJun; Li, ZhaoYan; Hu, JinRong; Hu, RuiLin; Lv, BingYan; Jia, Peng",HK–SEIR model of public opinion evolution based on communication factors.,Apr2021,10.1016/j.engappai.2021.104192,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=149177043&lang=pt-br&site=ehost-live"
SCOPUS,Teo S.A.,How Artificial Intelligence Systems Challenge the Conceptual Foundations of the Human Rights Legal Framework,2022,10.1080/18918131.2022.2073078,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131696429&doi=10.1080%2f18918131.2022.2073078&partnerID=40&md5=d9cbc5f5de91f10075c9921773f762fa
SCOPUS,Reed C.,How should we regulate artificial intelligence?,2018,10.1098/rsta.2017.0360,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060243306&doi=10.1098%2frsta.2017.0360&partnerID=40&md5=159a868b6ae750536efd94f43733f588
SCOPUS,Schwarz E.C.,Human vs. Machine: A framework of responsibilities and duties of transnational corporations for respecting human rights in the use of artificial intelligence,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082483343&partnerID=40&md5=3ce5f8870b527dcbf424523a5fbdf6d8
ACADEMIC,"Kanuck, Sean","Humor, Ethics, and Dignity: Being Human in the Age of Artificial Intelligence.",Spring2019,10.1017/S0892679418000928,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=cookie,ip,shib,uid&db=aph&AN=135139895&lang=pt-br&site=ehost-live"
SCOPUS,Ridge H.M.,Illiberal Democrats in Egypt,2022,10.1080/21520844.2022.2075175,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132738446&doi=10.1080%2f21520844.2022.2075175&partnerID=40&md5=1b81e2a3708af5b4741a432d7776be23
